Date,Name,Weekday,Type
2023-12-24,Christmas Eve,SUNDAY,"Observance, Christian"
2023-12-25,Christmas Day,MONDAY,"National holiday, Christian"
2023-12-26,Public Sector Holiday,TUESDAY,Public Sector Holiday
2023-12-31,New Year's Eve,SUNDAY,Observance
2024-01-01,New Year's Day,MONDAY,National holiday
2024-01-06,The Three Wise Men Day,SATURDAY,Observance
2024-03-19,March Equinox,TUESDAY,Season
2024-03-28,Maundy Thursday,THURSDAY,"National holiday, Christian"
2024-03-29,Good Friday,FRIDAY,"National holiday, Christian"
2024-03-31,Easter Sunday,SUNDAY,"Observance, Christian"
2024-05-01,Labor Day / May Day,WEDNESDAY,National holiday
2024-05-12,Mothers' Day,SUNDAY,Observance
2024-06-07,Battle of Arica,FRIDAY,National holiday
2024-06-07,Flag Day,FRIDAY,Observance
2024-06-16,Fathers' Day,SUNDAY,Observance
2024-06-20,June Solstice,THURSDAY,Season
2024-06-24,Farmer Day,MONDAY,Observance
2024-06-24,Inti Raymi Day,MONDAY,Observance
2024-06-29,St Peter and St Paul,SATURDAY,National holiday
2024-07-23,Peruvian Air Force Day,TUESDAY,National holiday
2024-07-26,Public Sector Holiday,FRIDAY,Public Sector Holiday
2024-07-28,Independence Day,SUNDAY,National holiday
2024-07-29,Independence Day (day 2),MONDAY,National holiday
2024-08-06,Battle of Junín,TUESDAY,National holiday
2024-08-30,Santa Rosa De Lima,FRIDAY,National holiday
2024-09-22,September Equinox,SUNDAY,Season
2024-09-24,Armed Forces Day,TUESDAY,Observance
2024-10-07,Public Sector Holiday,MONDAY,Public Sector Holiday
2024-10-08,Battle of Angamos,TUESDAY,National holiday
2024-11-01,All Saints' Day,FRIDAY,National holiday
2024-11-02,All Souls' Day,SATURDAY,Observance
2024-12-06,Public Sector Holiday,FRIDAY,Public Sector Holiday
2024-12-08,Feast of the Immaculate Conception,SUNDAY,National holiday
2024-12-09,Battle of Ayacucho,MONDAY,National holiday
2024-12-21,December Solstice,SATURDAY,Season
2024-12-23,Public Sector Holiday,MONDAY,Public Sector Holiday
2024-12-24,Christmas Eve,TUESDAY,"Observance, Christian"
2024-12-24,Public Sector Holiday,TUESDAY,Public Sector Holiday
2024-12-25,Christmas Day,WEDNESDAY,"National holiday, Christian"
2024-12-30,Public Sector Holiday,MONDAY,Public Sector Holiday
2024-12-31,New Year's Eve,TUESDAY,Observance
2024-12-31,Public Sector Holiday,TUESDAY,Public Sector Holiday
